#Normalization-constant  6.46299e+02
#lambda         flux
1.0871273e+00  9.72295e-01
1.0871428e+00  9.57259e-01
1.0871584e+00  9.71692e-01
1.0871739e+00  9.76443e-01
1.0871895e+00  9.52206e-01
1.0872050e+00  9.50932e-01
1.0872206e+00  9.54504e-01
1.0872361e+00  9.46079e-01
1.0872517e+00  9.57027e-01
1.0872672e+00  9.67805e-01
1.0872828e+00  9.50503e-01
1.0872983e+00  9.47980e-01
1.0873139e+00  9.80534e-01
1.0873294e+00  9.34997e-01
1.0873451e+00  9.28818e-01
1.0873607e+00  9.36077e-01
1.0873762e+00  9.13456e-01
1.0873918e+00  9.27322e-01
1.0874073e+00  9.40627e-01
1.0874229e+00  9.54658e-01
1.0874384e+00  9.30064e-01
1.0874540e+00  9.12238e-01
1.0874695e+00  9.32388e-01
1.0874851e+00  9.54154e-01
1.0875006e+00  9.80110e-01
1.0875162e+00  9.71670e-01
1.0875317e+00  9.91715e-01
1.0875474e+00  9.73461e-01
1.0875628e+00  1.00346e+00
1.0875785e+00  1.02816e+00
1.0875940e+00  1.00000e+00
1.0876096e+00  9.93036e-01
1.0876251e+00  1.01965e+00
1.0876407e+00  1.01923e+00
1.0876563e+00  9.94317e-01
1.0876718e+00  1.01288e+00
1.0876874e+00  1.02729e+00
1.0877029e+00  9.98986e-01
1.0877185e+00  1.00748e+00
1.0877340e+00  1.01778e+00
1.0877496e+00  1.00294e+00
1.0877651e+00  9.88095e-01
1.0877808e+00  9.86652e-01
1.0877963e+00  1.02312e+00
1.0878119e+00  1.03181e+00
1.0878274e+00  1.02627e+00
1.0878430e+00  1.00477e+00
1.0878585e+00  9.94024e-01
1.0878741e+00  1.01425e+00
1.0878896e+00  1.00437e+00
1.0879052e+00  1.00440e+00
1.0879208e+00  1.00086e+00
1.0879363e+00  1.02346e+00
1.0879519e+00  1.02694e+00
1.0879674e+00  1.02916e+00
1.0879831e+00  1.02903e+00
1.0879986e+00  9.96618e-01
1.0880142e+00  1.00589e+00
1.0880297e+00  1.04465e+00
1.0880453e+00  1.05558e+00
1.0880608e+00  1.05366e+00
1.0880764e+00  1.02165e+00
1.0880919e+00  9.96708e-01
1.0881075e+00  1.00889e+00
1.0881230e+00  1.02171e+00
1.0881386e+00  9.98776e-01
1.0881541e+00  1.00706e+00
1.0881697e+00  9.92108e-01
1.0881852e+00  1.01051e+00
1.0882009e+00  9.73560e-01
1.0882165e+00  1.00648e+00
1.0882321e+00  1.03590e+00
1.0882477e+00  1.02538e+00
1.0882632e+00  1.00488e+00
1.0882788e+00  1.01610e+00
1.0882943e+00  1.00068e+00
1.0883099e+00  9.95873e-01
1.0883254e+00  1.00963e+00
1.0883410e+00  9.99944e-01
1.0883565e+00  1.00573e+00
1.0883721e+00  9.95743e-01
1.0883876e+00  9.76091e-01
1.0884033e+00  9.85305e-01
1.0884188e+00  9.76000e-01
1.0884344e+00  1.00722e+00
1.0884499e+00  1.00471e+00
1.0884655e+00  1.01667e+00
1.0884810e+00  9.60005e-01
1.0884966e+00  9.94859e-01
1.0885122e+00  9.88744e-01
1.0885277e+00  9.84274e-01
1.0885433e+00  9.85605e-01
1.0885588e+00  9.81229e-01
1.0885744e+00  9.84729e-01
1.0885899e+00  9.59149e-01
1.0886056e+00  9.88299e-01
1.0886210e+00  9.57491e-01
1.0886367e+00  9.87329e-01
1.0886522e+00  9.77425e-01
1.0886678e+00  9.79994e-01
1.0886833e+00  9.48707e-01
1.0886989e+00  9.47011e-01
1.0887144e+00  9.86177e-01
1.0887300e+00  1.01218e+00
1.0887455e+00  9.81013e-01
1.0887611e+00  1.00000e+00
1.0887766e+00  1.01459e+00
1.0887922e+00  9.90656e-01
1.0888079e+00  9.77707e-01
1.0888233e+00  1.01795e+00
1.0888390e+00  1.01505e+00
1.0888545e+00  1.00647e+00
1.0888701e+00  1.01221e+00
1.0888856e+00  9.99054e-01
1.0889012e+00  9.85960e-01
1.0889167e+00  9.91164e-01
1.0889323e+00  9.89245e-01
1.0889478e+00  1.01153e+00
1.0889634e+00  1.01599e+00
1.0889789e+00  1.00419e+00
1.0889945e+00  1.00027e+00
1.0890100e+00  1.02528e+00
1.0890256e+00  1.00914e+00
1.0890411e+00  9.94401e-01
1.0890568e+00  1.01099e+00
1.0890723e+00  1.02591e+00
1.0890879e+00  1.02925e+00
1.0891035e+00  1.03846e+00
1.0891190e+00  1.02069e+00
1.0891346e+00  1.02100e+00
1.0891501e+00  1.02088e+00
1.0891657e+00  1.02772e+00
1.0891812e+00  1.02398e+00
1.0891968e+00  1.01912e+00
1.0892123e+00  1.00698e+00
1.0892279e+00  1.00540e+00
