#Normalization-constant  1.21649e+04
#lambda         flux
1.0846890e+00  1.02701e+00
1.0847045e+00  1.03020e+00
1.0847201e+00  1.02711e+00
1.0847357e+00  1.02244e+00
1.0847512e+00  1.01259e+00
1.0847668e+00  1.01150e+00
1.0847825e+00  1.01104e+00
1.0847982e+00  9.97925e-01
1.0848136e+00  9.94923e-01
1.0848293e+00  9.88113e-01
1.0848449e+00  9.77210e-01
1.0848604e+00  9.82469e-01
1.0848760e+00  9.92007e-01
1.0848916e+00  1.00900e+00
1.0849071e+00  1.02417e+00
1.0849227e+00  1.03202e+00
1.0849383e+00  1.04528e+00
1.0849540e+00  1.03819e+00
1.0849695e+00  1.03648e+00
1.0849851e+00  1.02975e+00
1.0850007e+00  1.02505e+00
1.0850162e+00  1.02184e+00
1.0850318e+00  1.02514e+00
1.0850474e+00  1.01870e+00
1.0850629e+00  1.02938e+00
1.0850785e+00  1.04050e+00
1.0850941e+00  1.03771e+00
1.0851096e+00  1.04297e+00
1.0851253e+00  1.04557e+00
1.0851409e+00  1.04789e+00
1.0851565e+00  1.04147e+00
1.0851720e+00  1.03871e+00
1.0851876e+00  1.03409e+00
1.0852032e+00  1.02960e+00
1.0852187e+00  1.03533e+00
1.0852343e+00  1.03618e+00
1.0852500e+00  1.03845e+00
1.0852655e+00  1.02961e+00
1.0852811e+00  1.03476e+00
1.0852967e+00  1.03541e+00
1.0853122e+00  1.04350e+00
1.0853278e+00  1.04447e+00
1.0853434e+00  1.04776e+00
1.0853590e+00  1.04571e+00
1.0853745e+00  1.05167e+00
1.0853901e+00  1.02018e+00
1.0854058e+00  9.60470e-01
1.0854213e+00  1.04068e+00
1.0854369e+00  1.03455e+00
1.0854525e+00  1.03120e+00
1.0854680e+00  1.02865e+00
1.0854836e+00  1.03951e+00
1.0854992e+00  1.04422e+00
1.0855148e+00  1.04797e+00
1.0855303e+00  1.05098e+00
1.0855460e+00  1.05298e+00
1.0855616e+00  1.06026e+00
1.0855771e+00  1.05805e+00
1.0855927e+00  1.05601e+00
1.0856083e+00  1.05188e+00
1.0856238e+00  1.05153e+00
1.0856394e+00  1.04874e+00
1.0856550e+00  1.04185e+00
1.0856705e+00  1.03175e+00
1.0856861e+00  1.02735e+00
1.0857018e+00  1.03110e+00
1.0857174e+00  1.03650e+00
1.0857329e+00  1.04522e+00
1.0857485e+00  1.04959e+00
1.0857641e+00  1.05317e+00
1.0857796e+00  1.05926e+00
1.0857952e+00  1.05785e+00
1.0858108e+00  1.05581e+00
1.0858263e+00  1.05710e+00
1.0858419e+00  1.05034e+00
1.0858576e+00  1.04658e+00
1.0858731e+00  1.04268e+00
1.0858887e+00  1.03999e+00
1.0859043e+00  1.03920e+00
1.0859199e+00  1.03489e+00
1.0859354e+00  1.03950e+00
1.0859510e+00  1.03970e+00
1.0859666e+00  1.04347e+00
1.0859821e+00  1.04429e+00
1.0859978e+00  1.04344e+00
1.0860134e+00  1.04533e+00
1.0860289e+00  1.04537e+00
1.0860445e+00  1.05380e+00
1.0860601e+00  1.04687e+00
1.0860757e+00  1.03466e+00
1.0860912e+00  1.03468e+00
1.0861068e+00  1.03844e+00
1.0861224e+00  1.04052e+00
1.0861379e+00  1.03651e+00
1.0861536e+00  1.04013e+00
1.0861692e+00  1.04243e+00
1.0861847e+00  1.04673e+00
1.0862003e+00  1.04842e+00
1.0862159e+00  1.05528e+00
1.0862314e+00  1.05174e+00
1.0862470e+00  1.05362e+00
1.0862626e+00  1.05558e+00
1.0862783e+00  1.04823e+00
1.0862938e+00  1.05321e+00
1.0863094e+00  1.05470e+00
1.0863250e+00  1.04284e+00
1.0863405e+00  1.02611e+00
1.0863561e+00  1.00182e+00
1.0863717e+00  1.01479e+00
1.0863872e+00  1.02216e+00
1.0864028e+00  1.03083e+00
1.0864184e+00  1.03639e+00
1.0864339e+00  1.03986e+00
1.0864496e+00  1.03649e+00
1.0864652e+00  1.03784e+00
1.0864808e+00  1.03347e+00
1.0864963e+00  1.03062e+00
1.0865119e+00  1.01552e+00
1.0865275e+00  1.01965e+00
1.0865430e+00  1.01849e+00
1.0865586e+00  1.01799e+00
1.0865743e+00  1.02358e+00
1.0865897e+00  1.02784e+00
1.0866054e+00  1.03187e+00
1.0866210e+00  1.04000e+00
1.0866366e+00  1.04398e+00
1.0866521e+00  1.03909e+00
1.0866677e+00  1.03772e+00
1.0866833e+00  1.02969e+00
1.0866988e+00  1.03161e+00
1.0867144e+00  1.01347e+00
1.0867301e+00  1.02148e+00
1.0867456e+00  1.01995e+00
1.0867612e+00  1.01952e+00
1.0867768e+00  1.01975e+00
1.0867923e+00  1.01449e+00
1.0868079e+00  1.02202e+00
1.0868235e+00  1.02561e+00
1.0868391e+00  1.03383e+00
1.0868546e+00  1.03228e+00
1.0868702e+00  1.03775e+00
1.0868859e+00  1.01440e+00
1.0869014e+00  1.02140e+00
1.0869170e+00  1.01415e+00
1.0869326e+00  9.96264e-01
1.0869481e+00  9.84067e-01
1.0869637e+00  9.64722e-01
1.0869793e+00  9.60203e-01
1.0869948e+00  9.53976e-01
1.0870104e+00  9.52524e-01
1.0870261e+00  9.45880e-01
1.0870417e+00  9.45454e-01
1.0870572e+00  9.45971e-01
1.0870728e+00  9.48429e-01
1.0870884e+00  9.49654e-01
1.0871039e+00  9.50123e-01
1.0871195e+00  9.50301e-01
1.0871351e+00  9.51910e-01
1.0871506e+00  9.42429e-01
1.0871662e+00  9.43988e-01
1.0871819e+00  9.40874e-01
1.0871975e+00  9.46808e-01
1.0872130e+00  9.49759e-01
1.0872286e+00  9.53641e-01
1.0872442e+00  9.51133e-01
1.0872597e+00  9.55906e-01
1.0872753e+00  9.44975e-01
1.0872909e+00  9.44336e-01
1.0873064e+00  9.38733e-01
1.0873221e+00  9.24113e-01
1.0873377e+00  9.27743e-01
1.0873532e+00  9.19660e-01
1.0873688e+00  9.13530e-01
1.0873844e+00  9.12406e-01
1.0874000e+00  9.01967e-01
1.0874156e+00  9.39812e-01
1.0874312e+00  9.44338e-01
1.0874468e+00  9.46904e-01
1.0874623e+00  9.62676e-01
1.0874780e+00  9.76888e-01
1.0874936e+00  9.83100e-01
