#Normalization-constant  3.85227e+03
#lambda         flux
1.0852138e+00  1.00818e+00
1.0852294e+00  1.00326e+00
1.0852449e+00  9.97048e-01
1.0852605e+00  9.90164e-01
1.0852761e+00  9.91966e-01
1.0852916e+00  9.97584e-01
1.0853073e+00  9.91080e-01
1.0853228e+00  1.00140e+00
1.0853384e+00  1.01572e+00
1.0853540e+00  1.00194e+00
1.0853695e+00  1.00755e+00
1.0853851e+00  1.01337e+00
1.0854006e+00  1.01184e+00
1.0854162e+00  9.99599e-01
1.0854318e+00  1.00749e+00
1.0854473e+00  1.00658e+00
1.0854629e+00  1.00441e+00
1.0854784e+00  1.01553e+00
1.0854941e+00  1.00429e+00
1.0855097e+00  1.02396e+00
1.0855252e+00  1.02736e+00
1.0855408e+00  1.02832e+00
1.0855564e+00  1.02418e+00
1.0855719e+00  1.03507e+00
1.0855875e+00  1.03722e+00
1.0856030e+00  1.01074e+00
1.0856186e+00  1.01624e+00
1.0856343e+00  1.02305e+00
1.0856497e+00  1.02718e+00
1.0856654e+00  1.02004e+00
1.0856809e+00  1.01598e+00
1.0856965e+00  1.03250e+00
1.0857121e+00  1.00883e+00
1.0857276e+00  1.00028e+00
1.0857432e+00  1.00889e+00
1.0857587e+00  1.01190e+00
1.0857743e+00  1.03136e+00
1.0857899e+00  1.00901e+00
1.0858054e+00  1.02684e+00
1.0858211e+00  1.00894e+00
1.0858367e+00  1.01400e+00
1.0858522e+00  1.02008e+00
1.0858678e+00  1.00083e+00
1.0858833e+00  1.00858e+00
1.0858989e+00  1.01532e+00
1.0859145e+00  1.00446e+00
1.0859300e+00  9.91712e-01
1.0859456e+00  1.00709e+00
1.0859611e+00  1.00703e+00
1.0859767e+00  1.02092e+00
1.0859924e+00  1.02772e+00
1.0860079e+00  1.03992e+00
1.0860235e+00  1.03590e+00
1.0860390e+00  1.00187e+00
1.0860546e+00  1.01504e+00
1.0860702e+00  1.01970e+00
1.0860857e+00  1.01054e+00
1.0861013e+00  1.02131e+00
1.0861169e+00  1.02954e+00
1.0861324e+00  1.03522e+00
1.0861480e+00  1.02879e+00
1.0861635e+00  1.03021e+00
1.0861792e+00  1.03071e+00
1.0861948e+00  1.03240e+00
1.0862103e+00  1.04556e+00
1.0862259e+00  1.03214e+00
1.0862414e+00  1.02940e+00
1.0862570e+00  1.02797e+00
1.0862726e+00  1.03302e+00
1.0862881e+00  1.03943e+00
1.0863037e+00  9.94984e-01
1.0863192e+00  1.00448e+00
1.0863348e+00  1.02369e+00
1.0863505e+00  1.02150e+00
1.0863660e+00  1.01896e+00
1.0863816e+00  1.01647e+00
1.0863972e+00  1.00868e+00
1.0864127e+00  1.00945e+00
1.0864283e+00  1.04598e+00
1.0864438e+00  1.06074e+00
1.0864594e+00  1.05758e+00
1.0864750e+00  1.06368e+00
1.0864905e+00  1.04711e+00
1.0865061e+00  1.02944e+00
1.0865216e+00  1.00995e+00
1.0865373e+00  1.01279e+00
1.0865529e+00  1.01107e+00
1.0865684e+00  9.99872e-01
1.0865840e+00  1.00891e+00
1.0865995e+00  9.94176e-01
1.0866151e+00  1.00894e+00
1.0866307e+00  9.99570e-01
1.0866462e+00  9.80876e-01
1.0866618e+00  1.00264e+00
1.0866775e+00  1.00613e+00
1.0866929e+00  1.01048e+00
1.0867086e+00  1.00189e+00
1.0867241e+00  1.01820e+00
1.0867397e+00  1.00922e+00
1.0867553e+00  1.00745e+00
1.0867708e+00  1.00340e+00
1.0867864e+00  9.94935e-01
1.0868019e+00  1.00394e+00
1.0868175e+00  9.98440e-01
1.0868331e+00  9.91265e-01
1.0868486e+00  9.88714e-01
1.0868643e+00  9.84537e-01
1.0868797e+00  9.94594e-01
1.0868954e+00  9.77925e-01
1.0869110e+00  9.89142e-01
1.0869265e+00  9.82687e-01
1.0869421e+00  9.80106e-01
1.0869576e+00  9.74673e-01
1.0869732e+00  9.65172e-01
1.0869888e+00  9.72758e-01
1.0870043e+00  9.64399e-01
1.0870199e+00  9.61408e-01
1.0870356e+00  9.63786e-01
1.0870511e+00  9.75540e-01
1.0870667e+00  9.74118e-01
1.0870822e+00  9.76153e-01
1.0870978e+00  9.74741e-01
1.0871134e+00  9.63717e-01
1.0871289e+00  9.67538e-01
1.0871445e+00  9.55398e-01
1.0871600e+00  9.53060e-01
1.0871756e+00  9.64837e-01
1.0871912e+00  9.68727e-01
1.0872067e+00  9.62231e-01
1.0872224e+00  9.54075e-01
1.0872379e+00  9.53189e-01
1.0872535e+00  9.48069e-01
1.0872691e+00  9.41067e-01
1.0872846e+00  9.50038e-01
1.0873002e+00  9.57316e-01
1.0873158e+00  9.60146e-01
1.0873313e+00  9.49359e-01
1.0873469e+00  9.52777e-01
1.0873624e+00  9.43301e-01
1.0873780e+00  9.32666e-01
1.0873937e+00  9.40842e-01
1.0874092e+00  9.38437e-01
1.0874248e+00  9.29988e-01
1.0874403e+00  9.40551e-01
1.0874559e+00  9.43407e-01
1.0874715e+00  9.52683e-01
1.0874870e+00  9.54472e-01
1.0875026e+00  9.66111e-01
1.0875181e+00  9.63807e-01
1.0875337e+00  9.64194e-01
1.0875493e+00  9.75287e-01
1.0875648e+00  9.72937e-01
1.0875805e+00  9.84799e-01
1.0875961e+00  9.86455e-01
1.0876116e+00  9.83797e-01
1.0876272e+00  9.86318e-01
1.0876427e+00  9.89892e-01
1.0876583e+00  9.92082e-01
1.0876739e+00  9.89161e-01
1.0876894e+00  9.88334e-01
1.0877050e+00  9.88207e-01
1.0877205e+00  9.81839e-01
1.0877361e+00  9.79503e-01
1.0877518e+00  9.80437e-01
1.0877673e+00  9.93533e-01
1.0877829e+00  9.90651e-01
1.0877984e+00  9.98995e-01
1.0878140e+00  1.00566e+00
1.0878296e+00  9.96717e-01
1.0878451e+00  1.00199e+00
1.0878607e+00  1.00265e+00
1.0878763e+00  1.00567e+00
1.0878918e+00  1.00047e+00
1.0879075e+00  1.00214e+00
1.0879229e+00  9.94254e-01
1.0879386e+00  9.93192e-01
1.0879542e+00  1.00202e+00
1.0879697e+00  9.96571e-01
1.0879853e+00  1.01121e+00
1.0880008e+00  1.00083e+00
1.0880164e+00  1.00655e+00
1.0880320e+00  1.00413e+00
1.0880475e+00  1.00533e+00
1.0880631e+00  1.00965e+00
1.0880786e+00  9.93066e-01
