#Normalization-constant  1.09519e+02
#lambda         flux
1.1177847e+00  1.01213e+00
1.1178007e+00  1.01484e+00
1.1178168e+00  9.89206e-01
1.1178328e+00  9.90714e-01
1.1178489e+00  1.01009e+00
1.1178648e+00  1.02339e+00
1.1178809e+00  1.02598e+00
1.1178969e+00  1.00478e+00
1.1179130e+00  1.04060e+00
1.1179290e+00  1.01555e+00
1.1179451e+00  9.95431e-01
1.1179610e+00  9.83052e-01
1.1179771e+00  1.02920e+00
1.1179931e+00  1.06504e+00
1.1180092e+00  1.04426e+00
1.1180252e+00  1.06228e+00
1.1180413e+00  1.07534e+00
1.1180572e+00  1.05827e+00
1.1180732e+00  1.01692e+00
1.1180893e+00  1.05941e+00
1.1181053e+00  1.08519e+00
1.1181214e+00  1.04864e+00
1.1181373e+00  1.02912e+00
1.1181534e+00  1.06558e+00
1.1181694e+00  1.02173e+00
1.1181855e+00  1.03219e+00
1.1182015e+00  9.96853e-01
1.1182176e+00  1.02942e+00
1.1182335e+00  1.02511e+00
1.1182496e+00  1.04157e+00
1.1182656e+00  1.01813e+00
1.1182817e+00  1.04837e+00
1.1182977e+00  1.01550e+00
1.1183138e+00  1.03127e+00
1.1183297e+00  1.00096e+00
1.1183457e+00  1.03780e+00
1.1183618e+00  1.00013e+00
1.1183778e+00  1.03197e+00
1.1183939e+00  9.80908e-01
1.1184099e+00  9.73613e-01
1.1184259e+00  1.00441e+00
1.1184419e+00  9.24565e-01
1.1184580e+00  1.07639e+00
1.1184740e+00  1.11936e+00
1.1184901e+00  1.05027e+00
1.1185061e+00  1.05600e+00
1.1185221e+00  1.00911e+00
1.1185381e+00  1.04123e+00
1.1185542e+00  1.03076e+00
1.1185702e+00  1.00357e+00
1.1185862e+00  1.02215e+00
1.1186023e+00  1.01959e+00
1.1186182e+00  1.03185e+00
1.1186343e+00  1.00321e+00
1.1186503e+00  1.01044e+00
1.1186664e+00  1.02754e+00
1.1186824e+00  1.00813e+00
1.1186985e+00  1.01977e+00
1.1187144e+00  9.93619e-01
1.1187305e+00  9.85158e-01
1.1187465e+00  1.03666e+00
1.1187626e+00  1.00821e+00
1.1187786e+00  1.00775e+00
1.1187947e+00  9.72191e-01
1.1188106e+00  9.42331e-01
1.1188267e+00  9.85733e-01
1.1188427e+00  9.78647e-01
1.1188587e+00  1.01040e+00
1.1188748e+00  1.05435e+00
1.1188907e+00  9.70051e-01
1.1189068e+00  9.49255e-01
1.1189228e+00  9.52253e-01
1.1189389e+00  1.00814e+00
1.1189549e+00  9.52845e-01
1.1189710e+00  1.02193e+00
1.1189869e+00  1.06933e+00
1.1190030e+00  1.00468e+00
1.1190190e+00  9.22829e-01
1.1190351e+00  9.26951e-01
1.1190511e+00  9.63394e-01
1.1190672e+00  9.51367e-01
1.1190831e+00  9.38063e-01
1.1190991e+00  9.71462e-01
1.1191152e+00  9.85662e-01
1.1191312e+00  9.46220e-01
1.1191473e+00  9.66912e-01
1.1191633e+00  9.76322e-01
1.1191793e+00  9.65771e-01
1.1191953e+00  9.41328e-01
1.1192114e+00  9.33872e-01
1.1192274e+00  9.70773e-01
