#Normalization-constant  6.60334e+02
#lambda         flux
1.0732833e+00  9.56245e-01
1.0732985e+00  9.54107e-01
1.0733139e+00  9.24219e-01
1.0733293e+00  9.11900e-01
1.0733447e+00  9.21349e-01
1.0733599e+00  9.53866e-01
1.0733753e+00  9.51323e-01
1.0733907e+00  9.29332e-01
1.0734060e+00  9.44289e-01
1.0734214e+00  9.36899e-01
1.0734367e+00  9.34034e-01
1.0734521e+00  9.26857e-01
1.0734674e+00  9.32682e-01
1.0734828e+00  9.73257e-01
1.0734981e+00  9.67921e-01
1.0735135e+00  9.84345e-01
1.0735288e+00  9.66764e-01
1.0735442e+00  9.69991e-01
1.0735595e+00  9.90432e-01
1.0735748e+00  9.75088e-01
1.0735902e+00  9.78918e-01
1.0736056e+00  9.89644e-01
1.0736209e+00  9.88517e-01
1.0736362e+00  1.00060e+00
1.0736516e+00  9.84559e-01
1.0736670e+00  9.81119e-01
1.0736824e+00  9.85974e-01
1.0736976e+00  9.92859e-01
1.0737130e+00  9.97886e-01
1.0737284e+00  9.95367e-01
1.0737438e+00  9.94292e-01
1.0737590e+00  9.98820e-01
1.0737744e+00  9.91026e-01
1.0737898e+00  1.00277e+00
1.0738052e+00  9.93153e-01
1.0738204e+00  9.98254e-01
1.0738358e+00  1.00533e+00
1.0738512e+00  1.00493e+00
1.0738666e+00  1.01512e+00
1.0738818e+00  1.03585e+00
1.0738972e+00  1.03561e+00
1.0739126e+00  1.02700e+00
1.0739279e+00  1.02693e+00
1.0739433e+00  1.02043e+00
1.0739586e+00  1.01980e+00
1.0739740e+00  1.00226e+00
1.0739893e+00  1.01033e+00
1.0740047e+00  1.01037e+00
1.0740200e+00  9.98225e-01
1.0740354e+00  1.03688e+00
1.0740507e+00  1.00673e+00
1.0740661e+00  1.01090e+00
1.0740814e+00  1.00479e+00
1.0740967e+00  1.01683e+00
1.0741121e+00  1.01724e+00
1.0741275e+00  1.01817e+00
1.0741428e+00  1.03041e+00
1.0741581e+00  1.02273e+00
1.0741735e+00  1.03814e+00
1.0741889e+00  1.03278e+00
1.0742043e+00  1.02314e+00
1.0742195e+00  1.00891e+00
1.0742349e+00  9.84895e-01
1.0742503e+00  1.00475e+00
1.0742657e+00  9.98850e-01
1.0742809e+00  1.04685e+00
1.0742963e+00  1.00092e+00
1.0743117e+00  1.00115e+00
1.0743271e+00  1.01090e+00
1.0743423e+00  1.01556e+00
1.0743577e+00  9.85496e-01
1.0743731e+00  1.01644e+00
1.0743884e+00  1.02901e+00
1.0744038e+00  1.03859e+00
1.0744191e+00  1.02583e+00
1.0744345e+00  1.00848e+00
1.0744498e+00  9.86985e-01
1.0744652e+00  1.02463e+00
1.0744805e+00  1.01530e+00
1.0744959e+00  1.01296e+00
1.0745112e+00  1.01227e+00
1.0745266e+00  1.03312e+00
1.0745420e+00  1.02950e+00
1.0745573e+00  1.01729e+00
1.0745727e+00  9.96669e-01
1.0745881e+00  9.92784e-01
1.0746034e+00  1.00849e+00
1.0746187e+00  1.00754e+00
1.0746341e+00  1.01258e+00
1.0746495e+00  1.03482e+00
1.0746649e+00  9.81382e-01
1.0746801e+00  1.00919e+00
1.0746955e+00  1.03748e+00
1.0747109e+00  1.02822e+00
1.0747263e+00  1.02212e+00
