#Normalization-constant  7.65839e+02
#lambda         flux
1.0406841e+00  1.03087e+00
1.0406990e+00  1.03242e+00
1.0407139e+00  1.07310e+00
1.0407288e+00  1.02135e+00
1.0407437e+00  1.01583e+00
1.0407586e+00  1.01885e+00
1.0407737e+00  9.97460e-01
1.0407886e+00  1.01426e+00
1.0408035e+00  1.02897e+00
1.0408184e+00  1.02762e+00
1.0408333e+00  1.01128e+00
1.0408482e+00  1.02458e+00
1.0408631e+00  1.04622e+00
1.0408781e+00  1.01598e+00
1.0408930e+00  1.01668e+00
1.0409079e+00  9.89062e-01
1.0409228e+00  9.87102e-01
1.0409377e+00  9.93205e-01
1.0409526e+00  1.00893e+00
1.0409676e+00  1.06703e+00
1.0409825e+00  1.06104e+00
1.0409974e+00  1.02236e+00
1.0410123e+00  1.02919e+00
1.0410272e+00  1.02922e+00
1.0410421e+00  1.01144e+00
1.0410571e+00  1.01677e+00
1.0410720e+00  1.00021e+00
1.0410869e+00  1.01374e+00
1.0411018e+00  1.05242e+00
1.0411167e+00  1.06625e+00
1.0411316e+00  1.03634e+00
1.0411465e+00  1.04032e+00
1.0411616e+00  1.03146e+00
1.0411765e+00  1.05039e+00
1.0411914e+00  1.04556e+00
1.0412063e+00  1.07470e+00
1.0412212e+00  1.06576e+00
1.0412361e+00  1.02630e+00
1.0412511e+00  1.01873e+00
1.0412660e+00  1.03630e+00
1.0412809e+00  1.02450e+00
1.0412958e+00  1.03846e+00
1.0413108e+00  1.05707e+00
1.0413257e+00  1.06465e+00
1.0413407e+00  1.02070e+00
1.0413556e+00  1.02250e+00
1.0413705e+00  1.03461e+00
1.0413854e+00  1.03876e+00
1.0414003e+00  1.01431e+00
1.0414152e+00  9.78587e-01
1.0414301e+00  1.04750e+00
1.0414451e+00  1.03384e+00
1.0414601e+00  1.02443e+00
1.0414750e+00  1.04899e+00
1.0414899e+00  1.03798e+00
1.0415048e+00  1.03485e+00
1.0415197e+00  1.04226e+00
1.0415347e+00  1.03612e+00
1.0415496e+00  1.00358e+00
1.0415645e+00  1.01317e+00
1.0415794e+00  1.01512e+00
1.0415943e+00  1.02467e+00
1.0416092e+00  1.04011e+00
1.0416242e+00  1.00704e+00
1.0416391e+00  1.02325e+00
1.0416540e+00  1.01680e+00
1.0416689e+00  1.02799e+00
1.0416838e+00  1.01101e+00
1.0416987e+00  1.00995e+00
1.0417136e+00  9.95064e-01
1.0417286e+00  1.02939e+00
1.0417435e+00  1.04012e+00
1.0417584e+00  1.04187e+00
1.0417733e+00  1.03103e+00
1.0417882e+00  1.04654e+00
1.0418031e+00  1.02162e+00
1.0418182e+00  1.01951e+00
1.0418331e+00  1.03318e+00
1.0418480e+00  1.04767e+00
1.0418629e+00  1.01743e+00
1.0418778e+00  1.03770e+00
1.0418927e+00  1.02479e+00
1.0419077e+00  1.02670e+00
1.0419226e+00  1.03839e+00
1.0419375e+00  1.00390e+00
1.0419524e+00  1.00836e+00
1.0419673e+00  9.92174e-01
1.0419822e+00  1.02978e+00
1.0419971e+00  1.04594e+00
1.0420121e+00  1.00625e+00
1.0420270e+00  1.01729e+00
1.0420419e+00  1.03253e+00
1.0420568e+00  1.01168e+00
1.0420717e+00  1.02746e+00
1.0420866e+00  1.02718e+00
1.0421016e+00  1.05881e+00
1.0421165e+00  1.04781e+00
1.0421314e+00  1.05575e+00
1.0421463e+00  1.04184e+00
1.0421612e+00  1.04442e+00
1.0421761e+00  1.03501e+00
1.0421912e+00  1.04842e+00
1.0422061e+00  1.03215e+00
1.0422210e+00  1.05104e+00
1.0422359e+00  1.03016e+00
1.0422508e+00  1.03670e+00
1.0422657e+00  1.02531e+00
1.0422806e+00  1.02951e+00
1.0422956e+00  1.01769e+00
1.0423105e+00  1.03348e+00
1.0423254e+00  1.01191e+00
1.0423403e+00  1.03280e+00
1.0423552e+00  1.03749e+00
1.0423701e+00  1.02042e+00
1.0423851e+00  9.92910e-01
1.0424000e+00  1.00003e+00
1.0424149e+00  1.00191e+00
1.0424298e+00  1.00081e+00
1.0424447e+00  1.00664e+00
1.0424596e+00  1.00535e+00
1.0424746e+00  9.98200e-01
1.0424895e+00  9.94298e-01
1.0425044e+00  9.97196e-01
1.0425193e+00  1.00762e+00
1.0425342e+00  9.80713e-01
1.0425491e+00  9.86518e-01
1.0425640e+00  1.00141e+00
1.0425791e+00  9.90473e-01
1.0425940e+00  1.01773e+00
1.0426089e+00  1.00672e+00
1.0426238e+00  1.01459e+00
1.0426387e+00  1.00286e+00
1.0426536e+00  1.03665e+00
1.0426686e+00  1.01393e+00
1.0426835e+00  9.92855e-01
1.0426984e+00  9.75186e-01
1.0427133e+00  1.00778e+00
1.0427282e+00  9.93343e-01
1.0427431e+00  9.84476e-01
1.0427581e+00  9.84326e-01
1.0427730e+00  1.00591e+00
1.0427879e+00  9.92140e-01
1.0428028e+00  9.97196e-01
1.0428177e+00  9.53795e-01
1.0428326e+00  9.96156e-01
1.0428475e+00  1.00390e+00
1.0428625e+00  9.79071e-01
1.0428774e+00  9.62745e-01
1.0428924e+00  9.99025e-01
1.0429073e+00  1.00343e+00
1.0429222e+00  1.00040e+00
1.0429371e+00  9.98652e-01
1.0429521e+00  1.00958e+00
1.0429670e+00  1.01766e+00
1.0429819e+00  9.92520e-01
1.0429968e+00  1.01706e+00
1.0430117e+00  1.01123e+00
1.0430266e+00  1.02400e+00
1.0430416e+00  1.00116e+00
1.0430565e+00  1.00299e+00
1.0430714e+00  1.00387e+00
1.0430863e+00  1.03563e+00
1.0431012e+00  1.02248e+00
1.0431161e+00  1.00822e+00
1.0431310e+00  1.02677e+00
1.0431460e+00  1.01050e+00
1.0431609e+00  1.02609e+00
1.0431758e+00  1.00087e+00
1.0431907e+00  9.77163e-01
1.0432056e+00  1.01662e+00
1.0432205e+00  1.04103e+00
1.0432356e+00  1.02359e+00
1.0432505e+00  1.02089e+00
1.0432655e+00  9.62732e-01
1.0432804e+00  9.99662e-01
1.0432953e+00  1.01549e+00
1.0433102e+00  1.03325e+00
1.0433252e+00  9.86431e-01
1.0433401e+00  1.05017e+00
1.0433550e+00  1.04326e+00
1.0433699e+00  1.03844e+00
1.0433848e+00  1.00966e+00
1.0433997e+00  1.01165e+00
1.0434146e+00  1.02982e+00
1.0434296e+00  1.01003e+00
1.0434445e+00  1.01942e+00
1.0434594e+00  1.06042e+00
1.0434743e+00  1.02331e+00
1.0434892e+00  1.03931e+00
1.0435041e+00  9.99815e-01
1.0435191e+00  1.02008e+00
1.0435340e+00  1.02104e+00
