#Normalization-constant  5.11493e+02
#lambda         flux
1.1009535e+00  1.05390e+00
1.1009693e+00  1.03017e+00
1.1009851e+00  1.01453e+00
1.1010008e+00  1.01860e+00
1.1010166e+00  1.03124e+00
1.1010323e+00  9.88776e-01
1.1010481e+00  9.74628e-01
1.1010639e+00  9.93765e-01
1.1010796e+00  9.90681e-01
1.1010954e+00  9.97937e-01
1.1011111e+00  1.01027e+00
1.1011269e+00  9.64287e-01
1.1011427e+00  1.01964e+00
1.1011584e+00  1.06329e+00
1.1011741e+00  1.02865e+00
1.1011899e+00  1.02608e+00
1.1012057e+00  1.00207e+00
1.1012215e+00  9.82163e-01
1.1012372e+00  1.05233e+00
1.1012529e+00  1.02803e+00
1.1012687e+00  1.06351e+00
1.1012845e+00  1.01568e+00
1.1013003e+00  1.04639e+00
1.1013160e+00  1.00787e+00
1.1013317e+00  1.06600e+00
1.1013476e+00  1.03657e+00
1.1013633e+00  1.02198e+00
1.1013791e+00  9.98230e-01
1.1013948e+00  1.02452e+00
1.1014105e+00  1.04560e+00
1.1014264e+00  1.01918e+00
1.1014421e+00  9.62198e-01
1.1014579e+00  1.02087e+00
1.1014736e+00  1.04913e+00
1.1014893e+00  1.00774e+00
1.1015052e+00  9.92797e-01
1.1015209e+00  1.00054e+00
1.1015367e+00  1.07327e+00
1.1015524e+00  1.06047e+00
1.1015681e+00  1.05002e+00
1.1015840e+00  1.00362e+00
1.1015997e+00  1.02946e+00
1.1016155e+00  1.02113e+00
1.1016312e+00  1.01585e+00
1.1016469e+00  1.01400e+00
1.1016628e+00  1.01983e+00
1.1016785e+00  1.04463e+00
1.1016943e+00  1.04883e+00
1.1017100e+00  1.06093e+00
1.1017257e+00  1.05891e+00
1.1017416e+00  1.03605e+00
1.1017573e+00  1.00623e+00
1.1017731e+00  1.00660e+00
1.1017888e+00  1.00012e+00
1.1018045e+00  9.77708e-01
1.1018204e+00  9.85579e-01
1.1018361e+00  9.71041e-01
1.1018519e+00  9.83508e-01
1.1018676e+00  9.66157e-01
1.1018833e+00  9.65060e-01
1.1018992e+00  9.52152e-01
1.1019149e+00  9.94539e-01
1.1019307e+00  9.82727e-01
1.1019464e+00  9.49603e-01
1.1019621e+00  9.67149e-01
1.1019780e+00  9.71429e-01
1.1019937e+00  9.63272e-01
1.1020094e+00  9.65684e-01
1.1020252e+00  9.77594e-01
1.1020410e+00  9.72280e-01
1.1020568e+00  9.82798e-01
1.1020725e+00  9.95317e-01
1.1020882e+00  1.01042e+00
1.1021040e+00  1.01244e+00
1.1021198e+00  9.86427e-01
1.1021356e+00  9.78828e-01
1.1021513e+00  9.87576e-01
1.1021670e+00  1.03024e+00
1.1021828e+00  1.01705e+00
1.1021986e+00  1.02002e+00
1.1022144e+00  1.03706e+00
1.1022301e+00  1.00695e+00
1.1022458e+00  1.01410e+00
1.1022616e+00  1.01532e+00
1.1022774e+00  1.02261e+00
1.1022932e+00  1.02462e+00
1.1023089e+00  9.54228e-01
1.1023246e+00  9.67187e-01
1.1023404e+00  9.95524e-01
1.1023562e+00  9.90734e-01
1.1023720e+00  9.83876e-01
1.1023877e+00  1.00162e+00
1.1024034e+00  1.03923e+00
1.1024192e+00  1.02208e+00
1.1024350e+00  1.02464e+00
1.1024508e+00  1.00011e+00
1.1024665e+00  1.03985e+00
1.1024822e+00  1.02848e+00
1.1024980e+00  1.02482e+00
1.1025138e+00  1.04253e+00
1.1025296e+00  1.01685e+00
1.1025453e+00  1.03107e+00
1.1025610e+00  1.01587e+00
1.1025768e+00  1.00767e+00
1.1025926e+00  1.04837e+00
1.1026084e+00  1.03220e+00
1.1026241e+00  1.00685e+00
1.1026398e+00  9.99985e-01
1.1026556e+00  1.03631e+00
1.1026714e+00  1.02660e+00
1.1026872e+00  1.03096e+00
1.1027029e+00  1.04121e+00
1.1027186e+00  1.06026e+00
1.1027345e+00  1.02838e+00
1.1027502e+00  1.03453e+00
1.1027660e+00  1.04360e+00
1.1027817e+00  1.05514e+00
1.1027974e+00  1.03264e+00
1.1028133e+00  1.01424e+00
1.1028290e+00  9.79853e-01
1.1028447e+00  1.02910e+00
1.1028605e+00  1.07270e+00
1.1028762e+00  1.04726e+00
1.1028921e+00  1.02948e+00
1.1029078e+00  1.03928e+00
1.1029235e+00  1.05277e+00
1.1029393e+00  1.05396e+00
1.1029550e+00  9.98926e-01
1.1029709e+00  1.01340e+00
1.1029866e+00  1.02761e+00
1.1030024e+00  1.01705e+00
1.1030182e+00  1.03909e+00
1.1030339e+00  1.01036e+00
1.1030498e+00  1.00496e+00
1.1030655e+00  1.01627e+00
1.1030812e+00  9.81290e-01
1.1030970e+00  9.62133e-01
1.1031127e+00  1.00105e+00
1.1031286e+00  9.78702e-01
1.1031443e+00  1.01264e+00
1.1031600e+00  9.99052e-01
1.1031758e+00  9.98861e-01
1.1031915e+00  1.02000e+00
1.1032074e+00  1.04711e+00
1.1032231e+00  1.05192e+00
1.1032388e+00  1.05683e+00
1.1032546e+00  1.00959e+00
1.1032703e+00  9.97767e-01
1.1032862e+00  1.01138e+00
1.1033019e+00  1.00110e+00
1.1033176e+00  9.74251e-01
1.1033334e+00  9.50978e-01
1.1033491e+00  9.46036e-01
1.1033650e+00  9.63705e-01
1.1033807e+00  9.94199e-01
1.1033964e+00  9.86101e-01
1.1034122e+00  9.69614e-01
1.1034280e+00  9.93715e-01
1.1034438e+00  9.43485e-01
1.1034595e+00  9.55795e-01
1.1034752e+00  9.53901e-01
1.1034910e+00  9.63247e-01
1.1035068e+00  9.25300e-01
1.1035226e+00  9.60337e-01
1.1035383e+00  9.76138e-01
1.1035540e+00  9.64386e-01
