#Normalization-constant  6.96989e+02
#lambda         flux
1.0556792e+00  9.89114e-01
1.0556943e+00  1.02076e+00
1.0557095e+00  1.00400e+00
1.0557246e+00  1.00506e+00
1.0557398e+00  1.02989e+00
1.0557549e+00  1.00048e+00
1.0557700e+00  1.01492e+00
1.0557852e+00  9.78515e-01
1.0558003e+00  9.75220e-01
1.0558155e+00  9.88777e-01
1.0558306e+00  1.02073e+00
1.0558456e+00  1.01908e+00
1.0558608e+00  1.01939e+00
1.0558759e+00  9.96474e-01
1.0558910e+00  1.00317e+00
1.0559062e+00  1.00330e+00
1.0559213e+00  1.01466e+00
1.0559365e+00  1.03633e+00
1.0559516e+00  1.00492e+00
1.0559667e+00  9.72891e-01
1.0559819e+00  9.75168e-01
1.0559970e+00  9.85883e-01
1.0560122e+00  9.96516e-01
1.0560272e+00  1.04162e+00
1.0560423e+00  1.00177e+00
1.0560575e+00  1.00482e+00
1.0560726e+00  9.99718e-01
1.0560877e+00  9.79750e-01
1.0561029e+00  9.78174e-01
1.0561180e+00  9.95373e-01
1.0561331e+00  9.97919e-01
1.0561483e+00  9.80354e-01
1.0561634e+00  9.90938e-01
1.0561786e+00  9.68727e-01
1.0561937e+00  9.70657e-01
1.0562087e+00  1.02841e+00
1.0562239e+00  1.00388e+00
1.0562390e+00  1.00832e+00
1.0562541e+00  1.00532e+00
1.0562693e+00  1.00030e+00
1.0562844e+00  9.82722e-01
1.0562996e+00  9.89950e-01
1.0563147e+00  1.01883e+00
1.0563298e+00  1.02987e+00
1.0563450e+00  1.02921e+00
1.0563601e+00  9.80216e-01
1.0563753e+00  9.89581e-01
1.0563904e+00  9.91630e-01
1.0564054e+00  1.02037e+00
1.0564206e+00  1.00060e+00
1.0564357e+00  9.84781e-01
1.0564508e+00  9.57044e-01
1.0564660e+00  1.02899e+00
1.0564811e+00  1.01894e+00
1.0564963e+00  9.81100e-01
1.0565114e+00  9.72845e-01
1.0565265e+00  9.81229e-01
1.0565417e+00  1.00650e+00
1.0565568e+00  1.00523e+00
1.0565720e+00  9.74877e-01
1.0565870e+00  9.85142e-01
1.0566021e+00  1.01484e+00
1.0566173e+00  9.87629e-01
1.0566324e+00  9.92309e-01
1.0566475e+00  1.03503e+00
1.0566627e+00  1.02127e+00
1.0566778e+00  1.02672e+00
1.0566930e+00  1.00657e+00
1.0567081e+00  9.87118e-01
1.0567232e+00  9.91174e-01
1.0567384e+00  9.79905e-01
1.0567535e+00  9.71468e-01
1.0567687e+00  1.01462e+00
1.0567837e+00  1.01476e+00
1.0567988e+00  1.01620e+00
1.0568140e+00  9.98340e-01
1.0568291e+00  9.67151e-01
1.0568442e+00  9.87273e-01
1.0568594e+00  1.00830e+00
1.0568745e+00  1.01773e+00
1.0568897e+00  9.86125e-01
1.0569048e+00  9.90621e-01
1.0569199e+00  9.91635e-01
1.0569351e+00  1.00896e+00
1.0569503e+00  1.00760e+00
1.0569653e+00  1.01237e+00
1.0569805e+00  9.94772e-01
1.0569956e+00  1.00202e+00
1.0570107e+00  9.92016e-01
1.0570259e+00  1.00973e+00
1.0570410e+00  1.00875e+00
1.0570562e+00  1.01744e+00
1.0570713e+00  9.89645e-01
1.0570864e+00  9.83081e-01
1.0571016e+00  9.85019e-01
1.0571167e+00  1.01526e+00
1.0571319e+00  9.98606e-01
1.0571470e+00  1.01632e+00
1.0571620e+00  1.01392e+00
1.0571772e+00  9.95320e-01
1.0571923e+00  1.00263e+00
1.0572074e+00  9.98218e-01
1.0572226e+00  1.00749e+00
1.0572377e+00  9.84352e-01
1.0572529e+00  9.89653e-01
1.0572680e+00  1.00430e+00
1.0572831e+00  9.97406e-01
1.0572983e+00  9.77755e-01
1.0573134e+00  1.00592e+00
1.0573286e+00  1.00201e+00
1.0573436e+00  1.01003e+00
1.0573587e+00  9.90363e-01
1.0573739e+00  9.92584e-01
1.0573890e+00  9.99101e-01
1.0574041e+00  1.00083e+00
1.0574193e+00  1.00944e+00
1.0574344e+00  1.00868e+00
1.0574496e+00  1.01595e+00
1.0574647e+00  1.01665e+00
1.0574798e+00  1.00958e+00
1.0574950e+00  1.00397e+00
1.0575101e+00  1.03357e+00
1.0575253e+00  1.01532e+00
1.0575403e+00  1.00557e+00
1.0575554e+00  1.00240e+00
1.0575706e+00  1.00042e+00
1.0575857e+00  1.00225e+00
1.0576008e+00  9.76625e-01
1.0576160e+00  9.97682e-01
1.0576311e+00  1.00300e+00
1.0576463e+00  9.78556e-01
1.0576614e+00  9.86473e-01
1.0576765e+00  9.82057e-01
1.0576917e+00  1.00858e+00
1.0577068e+00  9.75191e-01
1.0577218e+00  9.87765e-01
1.0577370e+00  9.96081e-01
1.0577521e+00  1.00368e+00
1.0577673e+00  1.00264e+00
1.0577824e+00  9.89732e-01
1.0577975e+00  9.89061e-01
1.0578127e+00  9.97124e-01
1.0578278e+00  9.85702e-01
1.0578429e+00  9.88564e-01
1.0578581e+00  9.77621e-01
1.0578732e+00  1.01459e+00
1.0578884e+00  1.00241e+00
1.0579034e+00  1.01740e+00
1.0579185e+00  9.71284e-01
1.0579337e+00  9.82839e-01
1.0579488e+00  1.00883e+00
1.0579639e+00  1.01164e+00
1.0579791e+00  9.92962e-01
1.0579942e+00  9.78624e-01
1.0580094e+00  9.98404e-01
1.0580245e+00  9.88844e-01
1.0580396e+00  1.00708e+00
1.0580548e+00  1.02573e+00
1.0580699e+00  1.00955e+00
1.0580851e+00  9.87967e-01
1.0581001e+00  1.01981e+00
1.0581152e+00  9.81786e-01
1.0581304e+00  1.00576e+00
1.0581455e+00  9.98155e-01
1.0581606e+00  9.68262e-01
1.0581758e+00  9.65948e-01
1.0581909e+00  9.83634e-01
1.0582061e+00  9.78755e-01
1.0582212e+00  1.00377e+00
1.0582363e+00  1.02485e+00
1.0582515e+00  9.77664e-01
1.0582666e+00  9.98300e-01
1.0582816e+00  1.02352e+00
1.0582968e+00  1.02662e+00
1.0583119e+00  1.01889e+00
1.0583271e+00  9.82136e-01
1.0583422e+00  9.88859e-01
1.0583573e+00  9.77738e-01
1.0583725e+00  9.69814e-01
1.0583876e+00  9.77737e-01
1.0584028e+00  9.92490e-01
1.0584179e+00  9.73004e-01
1.0584330e+00  9.94466e-01
1.0584482e+00  9.76623e-01
1.0584633e+00  9.53245e-01
1.0584783e+00  9.26005e-01
1.0584935e+00  9.42418e-01
1.0585086e+00  9.14270e-01
1.0585238e+00  8.96691e-01
1.0585389e+00  9.16968e-01
1.0585540e+00  9.20529e-01
1.0585692e+00  8.95880e-01
1.0585843e+00  9.21906e-01
1.0585995e+00  9.06395e-01
1.0586146e+00  8.82231e-01
1.0586297e+00  8.89639e-01
1.0586449e+00  8.96545e-01
1.0586599e+00  9.01509e-01
1.0586750e+00  9.05196e-01
1.0586902e+00  8.88910e-01
1.0587053e+00  9.06816e-01
1.0587204e+00  8.94520e-01
1.0587356e+00  8.91241e-01
1.0587507e+00  9.25236e-01
1.0587659e+00  9.43866e-01
1.0587810e+00  9.39727e-01
1.0587961e+00  9.22624e-01
1.0588113e+00  9.07274e-01
1.0588264e+00  9.02469e-01
1.0588416e+00  9.11349e-01
1.0588566e+00  9.24880e-01
1.0588717e+00  9.13807e-01
1.0588869e+00  8.95483e-01
1.0589021e+00  9.23349e-01
1.0589172e+00  9.33339e-01
1.0589324e+00  9.29893e-01
1.0589475e+00  9.03641e-01
1.0589627e+00  9.04000e-01
1.0589778e+00  9.30135e-01
1.0589929e+00  9.39071e-01
1.0590081e+00  9.52141e-01
1.0590232e+00  9.26363e-01
1.0590382e+00  9.43576e-01
1.0590534e+00  9.67777e-01
1.0590685e+00  9.79945e-01
1.0590837e+00  9.87200e-01
1.0590988e+00  9.84282e-01
1.0591139e+00  9.95447e-01
1.0591291e+00  9.98371e-01
1.0591442e+00  9.77541e-01
1.0591594e+00  9.86281e-01
1.0591745e+00  9.75833e-01
1.0591896e+00  1.00839e+00
1.0592048e+00  9.96149e-01
1.0592199e+00  1.00263e+00
1.0592349e+00  9.99816e-01
1.0592501e+00  9.98753e-01
1.0592652e+00  1.00121e+00
1.0592804e+00  9.84728e-01
1.0592955e+00  1.01290e+00
1.0593106e+00  1.01720e+00
1.0593258e+00  1.03512e+00
1.0593409e+00  1.01665e+00
1.0593561e+00  1.00730e+00
1.0593712e+00  1.00056e+00
1.0593863e+00  1.00575e+00
1.0594015e+00  1.01466e+00
1.0594165e+00  9.98645e-01
1.0594316e+00  9.94771e-01
1.0594468e+00  1.01630e+00
1.0594619e+00  1.02179e+00
1.0594771e+00  1.00388e+00
1.0594922e+00  9.94471e-01
1.0595073e+00  1.00735e+00
1.0595225e+00  9.98261e-01
1.0595376e+00  1.00225e+00
1.0595527e+00  1.03584e+00
1.0595679e+00  1.00414e+00
1.0595830e+00  9.74210e-01
1.0595980e+00  9.93997e-01
1.0596132e+00  1.00066e+00
1.0596283e+00  9.95517e-01
1.0596435e+00  1.00810e+00
1.0596586e+00  1.01224e+00
1.0596737e+00  1.00313e+00
1.0596889e+00  1.01786e+00
1.0597040e+00  9.97045e-01
1.0597192e+00  1.00410e+00
1.0597343e+00  9.89844e-01
1.0597494e+00  1.00769e+00
1.0597646e+00  1.00635e+00
1.0597797e+00  9.97738e-01
1.0597947e+00  1.00490e+00
1.0598099e+00  1.02006e+00
1.0598250e+00  1.01421e+00
1.0598402e+00  1.01268e+00
1.0598553e+00  1.01144e+00
1.0598704e+00  1.01036e+00
1.0598856e+00  9.99073e-01
1.0599007e+00  1.03143e+00
1.0599159e+00  1.01016e+00
1.0599310e+00  1.01520e+00
1.0599461e+00  1.02440e+00
1.0599613e+00  9.94043e-01
1.0599763e+00  9.98041e-01
1.0599914e+00  1.02376e+00
1.0600066e+00  1.00607e+00
1.0600217e+00  1.00539e+00
1.0600369e+00  1.00864e+00
1.0600520e+00  9.89755e-01
1.0600671e+00  1.00351e+00
1.0600823e+00  1.02959e+00
1.0600974e+00  1.01666e+00
1.0601126e+00  1.00232e+00
1.0601277e+00  1.01923e+00
1.0601428e+00  1.02313e+00
1.0601580e+00  1.01212e+00
1.0601730e+00  1.03518e+00
1.0601881e+00  1.08784e+00
1.0602033e+00  1.12330e+00
1.0602184e+00  1.03025e+00
1.0602336e+00  9.97148e-01
1.0602487e+00  1.02070e+00
1.0602638e+00  1.00116e+00
1.0602790e+00  9.93933e-01
1.0602941e+00  9.96497e-01
1.0603093e+00  9.83597e-01
1.0603244e+00  9.56305e-01
1.0603395e+00  9.73074e-01
1.0603546e+00  9.68579e-01
1.0603697e+00  9.35555e-01
1.0603848e+00  9.37400e-01
1.0604000e+00  9.51989e-01
1.0604151e+00  9.55138e-01
1.0604302e+00  9.34959e-01
1.0604454e+00  9.46734e-01
1.0604605e+00  9.48182e-01
1.0604757e+00  9.37520e-01
1.0604908e+00  9.53300e-01
1.0605059e+00  9.47709e-01
1.0605211e+00  9.75509e-01
1.0605362e+00  9.69839e-01
1.0605512e+00  9.77778e-01
1.0605664e+00  9.82609e-01
1.0605815e+00  9.65449e-01
1.0605967e+00  9.55021e-01
1.0606118e+00  9.52709e-01
1.0606269e+00  9.50183e-01
1.0606421e+00  9.68817e-01
1.0606572e+00  9.39077e-01
1.0606724e+00  9.48554e-01
1.0606875e+00  9.64207e-01
1.0607026e+00  9.63986e-01
1.0607178e+00  8.99212e-01
1.0607328e+00  9.08864e-01
1.0607479e+00  9.34113e-01
1.0607631e+00  9.20021e-01
1.0607782e+00  9.01562e-01
1.0607934e+00  9.04830e-01
1.0608085e+00  9.12437e-01
1.0608236e+00  9.12614e-01
1.0608388e+00  9.06931e-01
1.0608540e+00  9.24960e-01
1.0608692e+00  9.32648e-01
1.0608843e+00  9.34769e-01
1.0608994e+00  9.59908e-01
1.0609145e+00  9.77725e-01
1.0609296e+00  9.73922e-01
1.0609447e+00  9.68364e-01
1.0609599e+00  9.74021e-01
1.0609750e+00  9.77340e-01
1.0609902e+00  9.71904e-01
1.0610053e+00  9.88461e-01
1.0610204e+00  9.89496e-01
1.0610356e+00  9.88327e-01
1.0610507e+00  9.69200e-01
1.0610659e+00  9.70506e-01
1.0610810e+00  9.63804e-01
1.0610961e+00  9.80687e-01
1.0611112e+00  1.00492e+00
1.0611263e+00  9.89085e-01
1.0611414e+00  9.81026e-01
1.0611566e+00  9.62877e-01
1.0611717e+00  9.75955e-01
1.0611869e+00  9.53921e-01
1.0612020e+00  9.79353e-01
1.0612171e+00  9.97744e-01
1.0612323e+00  9.83528e-01
1.0612474e+00  9.87318e-01
1.0612625e+00  9.63533e-01
1.0612777e+00  9.72436e-01
1.0612927e+00  9.97848e-01
1.0613078e+00  1.00424e+00
1.0613230e+00  9.81348e-01
1.0613381e+00  9.84985e-01
1.0613533e+00  9.84874e-01
1.0613684e+00  9.70784e-01
1.0613835e+00  9.80214e-01
1.0613987e+00  9.86401e-01
1.0614138e+00  1.00799e+00
1.0614290e+00  9.97220e-01
1.0614441e+00  1.02120e+00
1.0614592e+00  9.92977e-01
1.0614744e+00  1.00422e+00
1.0614894e+00  9.83722e-01
1.0615045e+00  1.01010e+00
1.0615197e+00  1.00500e+00
1.0615348e+00  1.01469e+00
1.0615500e+00  1.02638e+00
1.0615651e+00  1.00770e+00
1.0615802e+00  1.01237e+00
1.0615954e+00  1.01013e+00
1.0616105e+00  9.68721e-01
1.0616257e+00  9.90317e-01
1.0616408e+00  1.00923e+00
1.0616559e+00  9.84374e-01
1.0616710e+00  9.81211e-01
1.0616861e+00  9.83364e-01
1.0617012e+00  9.73906e-01
1.0617164e+00  1.01076e+00
1.0617315e+00  1.00080e+00
1.0617467e+00  1.00703e+00
1.0617618e+00  9.95532e-01
1.0617769e+00  9.95998e-01
1.0617921e+00  1.01628e+00
1.0618072e+00  9.94054e-01
1.0618224e+00  9.90637e-01
1.0618375e+00  1.00452e+00
1.0618526e+00  9.98357e-01
1.0618677e+00  1.00891e+00
1.0618828e+00  1.01205e+00
1.0618979e+00  9.84929e-01
1.0619131e+00  9.82217e-01
1.0619282e+00  9.76358e-01
1.0619434e+00  9.97283e-01
1.0619585e+00  9.80951e-01
1.0619736e+00  9.95378e-01
1.0619888e+00  1.01758e+00
1.0620039e+00  9.99313e-01
1.0620191e+00  1.01851e+00
1.0620342e+00  1.00390e+00
1.0620492e+00  1.00233e+00
1.0620643e+00  9.95738e-01
1.0620795e+00  9.91330e-01
1.0620946e+00  9.99695e-01
1.0621098e+00  9.77631e-01
1.0621249e+00  9.96997e-01
1.0621400e+00  1.02554e+00
1.0621552e+00  9.96491e-01
1.0621703e+00  9.89984e-01
1.0621855e+00  9.90651e-01
1.0622006e+00  1.01331e+00
1.0622157e+00  1.00446e+00
1.0622309e+00  1.02344e+00
1.0622459e+00  1.01392e+00
1.0622610e+00  1.00852e+00
1.0622762e+00  1.01280e+00
1.0622913e+00  9.91599e-01
1.0623065e+00  9.70444e-01
1.0623216e+00  1.08483e+00
1.0623367e+00  1.04328e+00
1.0623519e+00  9.91890e-01
1.0623670e+00  9.93015e-01
1.0623822e+00  9.95952e-01
1.0623973e+00  1.01000e+00
1.0624124e+00  9.97865e-01
1.0624275e+00  1.03869e+00
1.0624426e+00  1.00946e+00
1.0624577e+00  1.00740e+00
1.0624729e+00  9.99556e-01
1.0624880e+00  1.00978e+00
1.0625032e+00  1.02037e+00
1.0625183e+00  9.87047e-01
1.0625334e+00  1.01536e+00
1.0625486e+00  9.97385e-01
1.0625637e+00  1.02187e+00
1.0625789e+00  1.05744e+00
1.0625940e+00  1.06857e+00
1.0626091e+00  1.01653e+00
1.0626242e+00  1.01724e+00
1.0626393e+00  1.02355e+00
1.0626544e+00  1.01288e+00
1.0626696e+00  9.93280e-01
1.0626847e+00  9.67546e-01
1.0626999e+00  9.92613e-01
1.0627150e+00  1.01120e+00
1.0627301e+00  1.00276e+00
1.0627453e+00  9.94714e-01
1.0627604e+00  9.67037e-01
1.0627756e+00  9.84689e-01
1.0627907e+00  1.00628e+00
1.0628057e+00  1.00624e+00
1.0628210e+00  9.77917e-01
1.0628361e+00  1.00867e+00
1.0628512e+00  1.01976e+00
1.0628664e+00  1.01023e+00
1.0628815e+00  1.00777e+00
1.0628966e+00  1.02295e+00
1.0629118e+00  9.87971e-01
1.0629269e+00  9.96664e-01
1.0629421e+00  9.93184e-01
1.0629572e+00  1.01180e+00
1.0629723e+00  1.01489e+00
1.0629874e+00  1.00329e+00
1.0630025e+00  9.98746e-01
1.0630176e+00  9.99603e-01
1.0630328e+00  9.94525e-01
1.0630479e+00  1.00222e+00
1.0630631e+00  1.02059e+00
1.0630782e+00  1.01110e+00
1.0630933e+00  1.03219e+00
1.0631085e+00  9.94513e-01
1.0631236e+00  9.86568e-01
1.0631388e+00  9.86623e-01
1.0631539e+00  1.01959e+00
1.0631690e+00  1.03174e+00
1.0631841e+00  1.00410e+00
1.0631992e+00  9.99008e-01
1.0632143e+00  1.00478e+00
1.0632295e+00  9.74876e-01
1.0632446e+00  9.82033e-01
1.0632598e+00  9.90859e-01
1.0632749e+00  1.01361e+00
1.0632900e+00  1.00843e+00
1.0633052e+00  1.03601e+00
1.0633203e+00  9.95971e-01
