Wavelength,Flux,FluxSmooth7,FluxSmooth15
3763.570017,-128.932388,2.950442,53.408607
3764.436711,9.859159,9.859159,63.330376
3765.303604,-60.668739,9.859159,33.533272
3766.170697,169.894943,33.533272,33.533272
3767.037990,139.661179,102.618553,9.859159
3767.905482,33.533272,139.661179,9.859159
3768.773174,250.705917,139.661179,4.349692
3769.641066,102.618553,102.618553,9.859159
3770.509158,158.283630,33.533272,15.065804
3771.377450,-189.777878,-155.570145,31.862085
3772.245942,-241.050308,-155.570145,33.533272
3773.114634,-162.398315,-155.570145,31.862085
3773.983525,-155.570145,-155.570145,31.862085
3774.852617,4.349692,4.349692,31.862085
3775.721909,15.065804,15.065804,31.862085
3776.591401,31.862085,15.065804,31.862085
3777.461094,38.320724,31.862085,15.065804
3778.330987,36.610603,36.610603,31.862085
3779.201080,7.722074,38.320724,36.610603
3780.071373,311.511139,72.030937,36.610603
3780.941867,150.778244,72.030937,38.320724
3781.812561,100.897392,100.897392,49.073345
3782.683456,72.030937,101.291924,49.073345
3783.554551,6.619833,100.897392,72.030937
3784.425847,207.396835,72.030937,72.030937
3785.297344,101.291924,72.030937,100.897392
3786.169041,25.481030,49.073345,101.291924
3787.040939,49.073345,101.291924,100.897392
3787.913038,162.370087,49.073345,72.030937
3788.785337,14.216027,49.073345,72.030937
3789.657838,162.468781,162.370087,72.762871
3790.530539,-47.720932,162.370087,72.762871
3791.403442,230.097000,14.216027,72.467529
3792.276545,192.373917,74.652740,49.073345
3793.149850,-221.112930,72.762871,49.073345
3794.023355,-102.285858,72.762871,72.467529
3794.897062,74.652740,72.467529,26.339828
3795.770970,72.762871,-62.869392,26.339828
3796.645079,-62.869392,26.339828,-1.260422
3797.519390,72.467529,72.467529,-1.260422
3798.393902,-112.519608,26.339828,-19.443840
3799.268615,26.339828,-36.485985,-19.443840
3800.143529,76.185295,-1.260422,-1.260422
3801.018646,-36.485985,-19.443840,26.339828
3801.893963,-56.457016,-19.443840,-1.260422
3802.769482,-1.260422,-19.443840,-19.443840
3803.645203,-19.443840,-19.443840,-19.443840
3804.521126,-27.483751,-1.260422,-27.483751
3805.397250,61.309551,-1.260422,-19.443840
3806.273576,103.250854,-19.443840,-19.443840
3807.150104,105.644150,-27.483751,-19.443840
3808.026833,-77.979790,-36.585648,-19.443840
3808.903765,-36.585648,-36.585648,-19.443840
3809.780898,-46.166260,-36.585648,-19.443840
3810.658234,-182.416183,-36.585648,2.588611
3811.535771,29.204233,-35.509212,10.809621
3812.413511,164.394470,-20.414925,10.809621
